Claim_ID,Initial_Reserve_Amount,Primary_Cause_of_Accident,Claimant_Age,Initial_Class_of_Claim,Repairable_Flag,Total_Loss_Flag,Claimant_State,Minor_Involved,Days_to_Int_Reserve_since_FNOL,Primary_Accident_Description,Initial_Attorney_Involvement,Total_People_Involved,Non_Drivable_Flag,Number_of_Injuries,Rate_Class,Hospital_Visit,Vehicle_Type,Pedestrian_Involvement,Combined_BI_Limits,Performance_Vehicle,Claimant_Injuries,claim_cost
CLM000378,37131,1,56,1,0,0,1,0,3,0,0,4,0,2,1,0,2,0,25000,0,1.0,11452.0
CLM000382,11593,0,66,1,1,0,3,0,20,1,0,3,1,0,0,0,2,0,50000,0,2.0,141462.8
CLM000384,36277,3,61,2,1,0,0,0,21,2,0,3,1,1,1,0,3,0,25000,0,2.0,16336.3
CLM000386,11229,3,49,1,0,0,0,0,9,0,0,2,0,2,1,0,2,0,100000,0,,12947.7
CLM000387,34677,1,21,1,1,0,1,0,11,0,0,3,1,2,2,0,3,0,50000,0,2.0,9571.5
CLM000392,40828,0,26,0,0,0,4,0,4,2,0,2,0,1,1,0,0,0,25000,0,2.0,106341.4
CLM000393,13033,1,18,1,1,0,0,0,24,0,0,2,1,1,1,0,1,0,25000,0,1.0,12255.0
CLM000395,40474,1,35,0,0,0,4,0,21,2,1,3,1,4,0,0,3,0,100000,0,2.0,432076.0
CLM000398,39254,2,23,1,1,0,4,0,8,2,1,2,1,2,2,0,2,0,100000,0,1.0,15174.3
CLM000406,5280,0,62,0,1,0,3,0,21,1,1,1,1,0,1,0,3,0,25000,0,1.0,185758.8
CLM000408,12539,3,68,0,1,0,3,0,18,2,0,4,1,4,0,0,0,0,50000,0,2.0,59734.3
CLM000409,7155,0,25,2,1,0,0,0,6,1,0,4,0,2,0,0,2,0,50000,0,2.0,30211.8
CLM000413,26047,2,52,0,1,0,4,0,13,1,1,1,1,4,2,0,3,0,50000,0,3.0,127281.3
CLM000416,32597,1,77,0,1,0,1,0,24,0,1,2,0,4,0,0,3,0,50000,0,2.0,161827.4
CLM000426,30249,3,63,1,0,0,4,0,1,1,0,3,0,0,2,0,3,0,100000,0,2.0,33333.0
CLM000429,27736,2,36,1,1,0,0,0,16,1,0,1,1,1,2,0,1,0,50000,0,2.0,15744.1
CLM000432,20008,2,27,2,1,0,0,0,11,2,0,2,0,3,1,0,0,0,25000,0,2.0,14314.7
CLM000439,32593,3,39,0,1,0,0,0,13,0,0,1,0,2,1,0,3,0,25000,0,1.0,13089.9
CLM000441,15702,3,40,0,0,0,1,0,26,1,0,3,0,3,0,0,0,0,50000,0,2.0,30672.5
CLM000444,8487,0,26,0,1,0,2,0,24,0,0,2,0,4,0,0,2,0,50000,0,3.0,161954.7
CLM000447,37733,3,45,0,1,0,3,0,15,2,1,3,1,2,0,0,1,0,100000,0,1.0,105001.5
CLM000448,17519,1,61,0,0,0,4,0,13,0,0,4,0,4,1,0,1,0,25000,0,1.0,45103.6
CLM000453,8811,3,50,1,1,0,3,0,6,1,0,4,0,2,0,0,0,0,100000,0,2.0,34586.0
CLM000454,17714,0,37,2,1,0,4,0,25,0,0,1,1,1,2,0,0,0,50000,0,2.0,39982.4
CLM000457,38445,0,47,2,1,0,2,0,27,2,0,2,0,1,0,0,1,0,25000,0,2.0,55709.8
CLM000458,47530,1,61,2,1,0,3,0,25,0,0,1,0,3,2,0,3,0,100000,0,2.0,8457.8
CLM000459,26445,1,26,0,1,0,4,0,25,2,0,2,0,3,1,0,3,0,100000,0,2.0,54528.1
CLM000460,25816,0,62,0,1,0,4,0,11,2,1,1,0,3,2,0,3,0,50000,0,3.0,157146.9
CLM000461,32717,2,66,2,1,0,4,0,15,2,0,3,1,1,0,0,0,0,100000,0,2.0,13438.7
CLM000463,6449,1,53,2,1,0,1,0,21,1,0,3,0,0,0,0,3,0,25000,0,,5613.8
CLM000464,1650,2,31,0,1,0,2,0,9,0,1,2,0,1,1,0,3,0,25000,0,1.0,48247.0
CLM000466,35199,0,24,0,1,0,1,0,21,2,0,2,1,2,1,0,2,0,50000,0,,32550.7
CLM000467,9704,1,76,0,1,0,4,0,7,0,1,3,0,0,0,0,1,0,100000,0,3.0,183253.4
CLM000468,1581,3,20,0,1,0,2,0,15,0,1,3,0,3,2,0,3,0,50000,0,3.0,207945.8
CLM000470,17396,3,61,1,1,0,3,0,10,1,0,1,0,2,0,0,1,0,50000,0,2.0,46899.5
CLM000473,5737,3,28,1,1,0,0,0,26,0,0,4,1,3,2,0,3,0,50000,0,1.0,6763.7
CLM000475,46043,1,19,0,0,0,2,0,14,2,0,2,0,2,1,0,2,0,25000,0,1.0,25576.4
CLM000477,46452,3,78,0,0,0,1,0,9,2,0,4,1,4,0,0,0,0,50000,0,2.0,158958.4
CLM000480,29875,1,34,2,1,0,4,0,16,1,1,3,0,2,1,0,3,0,100000,0,2.0,12314.9
CLM000485,20031,1,63,1,1,0,1,0,18,1,0,2,1,1,2,0,3,0,100000,0,3.0,27763.0
CLM000487,4006,0,46,2,1,0,4,0,2,0,0,4,0,1,0,0,0,0,100000,0,2.0,10930.3
CLM000488,13784,0,21,0,0,0,1,0,14,1,1,1,0,1,2,0,0,0,50000,0,1.0,43328.0
CLM000489,7753,2,55,2,1,0,3,0,16,0,1,3,1,4,0,0,1,0,100000,0,2.0,54090.3
CLM000491,28432,0,36,1,1,0,4,0,5,0,0,3,0,1,1,0,3,0,50000,0,1.0,18733.7
CLM000497,29624,0,69,1,1,0,4,0,17,1,0,2,1,0,2,0,0,0,25000,0,2.0,32665.2
CLM000498,30399,2,23,0,1,0,1,0,18,0,1,1,0,2,2,0,2,0,25000,0,1.0,33946.2
CLM000503,26711,0,61,0,0,0,1,0,6,0,0,3,0,0,1,0,0,0,25000,0,,53727.7
CLM000504,37720,2,65,2,1,0,0,0,12,0,0,2,0,0,0,0,0,0,25000,0,2.0,8410.0
CLM000506,39149,1,25,2,1,0,3,0,9,2,1,2,0,1,2,0,0,0,25000,0,1.0,6982.3
CLM000507,23549,0,72,2,0,0,4,0,19,0,0,4,1,3,2,0,2,0,50000,0,2.0,19111.2
CLM000508,14569,1,19,0,0,0,3,0,28,0,0,4,0,2,1,0,0,0,25000,0,2.0,196574.0
CLM000510,32343,2,57,2,1,0,4,0,2,0,1,4,1,1,1,0,0,0,100000,0,3.0,97285.4
CLM000511,3349,1,74,0,1,0,0,0,13,2,0,1,1,1,0,0,3,0,25000,0,2.0,203124.9
CLM000513,23789,0,48,0,0,0,2,0,23,1,0,2,0,2,0,0,0,0,25000,0,2.0,254420.2
CLM000514,45190,3,69,0,1,0,2,0,4,2,0,4,1,0,0,0,2,0,100000,0,3.0,200398.7
CLM000519,16864,1,69,0,1,0,1,0,5,0,0,3,0,4,2,0,2,0,50000,0,1.0,6222.5
CLM000520,5111,0,55,2,1,0,4,0,29,2,0,1,1,3,0,0,2,0,50000,0,2.0,90217.9
CLM000529,18571,3,64,2,1,0,3,0,27,2,0,3,0,0,1,0,1,0,25000,0,1.0,3080.5
CLM000531,12438,1,57,0,0,0,3,0,10,2,0,2,0,4,0,0,2,0,50000,0,2.0,250901.1
CLM000533,26644,1,63,1,1,0,0,0,4,0,1,3,0,4,1,0,1,0,100000,0,2.0,20662.1
CLM000534,4500,3,56,1,1,0,0,0,2,2,0,2,0,3,0,0,2,0,50000,0,,5707.0
CLM000537,28574,3,40,0,1,0,4,0,15,2,1,1,0,1,2,0,3,0,25000,0,1.0,26763.0
CLM000538,38655,3,75,1,0,0,3,0,9,1,0,1,1,1,1,0,1,0,100000,0,3.0,34621.8
CLM000541,38804,3,79,0,1,0,4,0,22,0,0,2,1,3,2,0,3,0,100000,0,,18526.7
CLM000542,46747,3,59,0,0,0,4,0,13,1,0,4,0,2,1,0,2,0,25000,0,1.0,26484.9
CLM000545,24607,3,27,0,1,0,2,0,14,1,1,4,0,0,0,0,2,0,25000,0,1.0,37358.5
CLM000549,38994,3,24,0,1,0,0,0,12,0,0,3,1,0,1,0,0,0,25000,0,3.0,217111.9
CLM000550,3873,2,24,2,0,0,3,0,25,0,0,1,0,1,0,0,3,0,50000,0,2.0,30005.5
CLM000556,27972,3,42,0,1,0,3,0,19,0,1,1,1,4,1,0,3,0,50000,0,2.0,112137.8
CLM000557,29261,1,57,0,1,0,2,0,3,1,1,1,0,2,1,0,2,0,100000,0,,7438.0
CLM000559,23632,1,27,0,1,0,0,0,28,1,0,3,0,4,1,0,1,0,50000,0,1.0,18958.1
CLM000563,11761,3,32,1,1,0,2,0,29,0,0,2,1,4,1,0,3,0,50000,0,1.0,5337.3
CLM000571,26592,1,52,0,1,0,2,0,14,2,1,1,1,1,2,0,2,0,50000,0,2.0,74341.7
CLM000572,11838,0,23,1,0,0,1,0,21,1,0,3,1,0,0,0,1,0,100000,0,3.0,397426.1
CLM000573,912,2,47,2,1,0,2,0,27,2,0,3,1,4,1,0,2,0,50000,0,1.0,6055.9
CLM000575,40855,1,25,2,1,0,0,0,11,2,1,4,0,3,1,0,3,0,100000,0,1.0,8686.0
CLM000579,44925,3,49,1,1,0,3,0,11,1,0,3,1,1,1,0,3,0,50000,0,2.0,22650.9
CLM000587,18455,3,57,2,1,0,0,0,8,0,0,1,0,1,0,0,2,0,25000,0,1.0,6770.3
CLM000588,38341,0,31,2,1,0,2,0,28,0,1,3,0,1,2,0,2,0,100000,0,,17275.9
CLM000591,23690,1,23,2,1,0,0,0,7,0,0,1,0,0,0,0,1,0,50000,0,,7040.6
CLM000592,7857,3,79,1,0,0,2,0,13,0,0,4,1,0,1,0,2,0,50000,0,1.0,19572.2
CLM000593,32979,3,73,0,1,0,3,0,15,2,0,2,1,2,1,0,2,0,50000,0,1.0,31390.8
CLM000594,45311,2,42,1,1,0,0,0,14,2,0,1,0,1,0,0,2,0,25000,0,1.0,7627.3
CLM000599,47820,1,79,2,1,0,2,0,14,2,0,2,0,2,1,0,0,0,50000,0,2.0,7287.5
CLM000600,3414,0,49,1,1,0,4,0,13,1,0,4,0,2,1,0,1,0,25000,0,1.0,7820.0
CLM000603,45412,1,49,1,0,0,2,0,22,1,1,1,0,0,1,0,3,0,50000,0,1.0,8233.0
CLM000606,47459,1,44,2,1,0,4,0,29,0,0,4,1,2,2,0,0,0,100000,0,3.0,14120.0
CLM000608,1198,2,41,2,1,0,4,0,1,0,1,4,0,0,2,0,1,0,100000,0,2.0,33320.8
CLM000613,7900,2,47,1,0,0,2,0,8,0,0,2,1,1,2,0,1,0,25000,0,3.0,38101.7
CLM000621,8835,3,57,1,0,0,3,0,22,2,0,3,0,3,2,0,0,0,100000,0,3.0,79918.6
CLM000625,32167,0,61,2,1,0,4,0,12,2,0,2,0,1,0,0,3,0,50000,0,1.0,17519.4
CLM000627,22472,1,18,2,1,0,1,0,6,2,0,2,1,0,1,0,0,0,25000,0,3.0,13031.0
CLM000630,27692,3,34,0,1,0,4,0,22,1,1,4,0,0,0,0,2,0,100000,0,2.0,120829.3
CLM000633,24744,2,69,2,1,0,0,0,12,0,0,4,1,4,1,0,0,0,100000,0,3.0,58713.8
CLM000635,22189,0,58,2,1,0,0,0,21,2,0,3,0,0,2,0,2,0,25000,0,2.0,55047.0
CLM000637,23425,1,21,1,0,0,4,0,28,1,0,1,0,1,2,0,0,0,100000,0,3.0,71648.6
CLM000638,37997,0,30,0,1,0,0,0,25,0,0,4,0,0,1,0,0,0,50000,0,2.0,99124.2
CLM000641,38602,3,63,0,1,0,3,0,20,0,0,2,1,2,0,0,1,0,50000,0,2.0,140470.7
CLM000643,37598,2,26,2,0,0,3,0,12,2,1,3,1,2,2,0,3,0,100000,0,3.0,296486.3
CLM000646,38114,2,50,2,1,0,4,0,21,1,0,3,0,1,0,0,0,0,50000,0,1.0,6722.8
CLM000648,48636,3,21,1,1,0,0,0,7,0,1,1,1,0,1,0,3,0,50000,0,1.0,8224.8
CLM000651,35807,2,59,2,0,0,1,0,4,0,0,1,1,1,0,0,2,0,50000,0,1.0,10054.6
CLM000652,7556,3,51,1,1,0,4,0,20,0,0,3,1,3,2,0,2,0,50000,0,,2202.6
CLM000654,44761,1,38,0,1,0,3,0,9,1,1,3,0,3,2,0,2,0,100000,0,3.0,98311.1
CLM000657,47232,1,52,1,1,0,2,0,13,2,1,4,0,4,1,0,2,0,25000,0,1.0,12427.0
CLM000664,27462,0,30,2,1,0,4,0,29,0,1,2,1,4,1,0,3,0,50000,0,2.0,40261.3
CLM000665,28795,0,20,1,0,0,2,0,8,2,0,3,1,1,2,0,3,0,100000,0,3.0,254242.5
