,Initial_Reserve_Amount,Primary_Cause_of_Accident,Claimant_Age,Initial_Class_of_Claim,Repairable_Flag,Total_Loss_Flag,Claimant_State,Minor_Involved,Days_to_Int_Reserve_since_FNOL,Primary_Accident_Description,Initial_Attorney_Involvement,Total_People_Involved,Non_Drivable_Flag,Number_of_Injuries,Rate_Class,Hospital_Visit,Vehicle_Type,Pedestrian_Involvement,Combined_BI_Limits,Performance_Vehicle,Claimant_Injuries
2325,19124,3,26,2,1,0,4,0,6,0,1,1,0,0,2,0,2,0,25000,0,2.0
528,838,2,40,2,1,0,3,0,26,2,1,3,1,3,1,0,2,0,25000,0,3.0
176,39149,1,25,2,1,0,3,0,9,2,1,2,0,1,2,0,0,0,25000,0,1.0
2002,3485,1,58,0,0,0,3,0,8,2,0,4,1,1,2,0,0,0,50000,0,3.0
422,40464,3,18,1,1,0,4,0,29,1,0,2,0,3,2,0,1,0,50000,0,1.0
680,14047,1,72,2,1,0,2,0,10,1,0,3,1,3,1,0,2,0,25000,0,3.0
1135,21508,2,24,2,1,0,3,0,15,2,0,4,0,2,0,0,1,0,25000,0,2.0
3572,22385,3,23,2,1,0,0,0,17,2,1,3,0,2,2,0,2,0,25000,0,2.0
1362,7666,0,54,2,1,0,3,0,23,0,0,1,0,4,0,0,1,0,25000,0,3.0
787,8348,1,51,1,0,0,0,0,22,0,0,1,0,4,0,0,2,0,50000,0,1.0
1618,42020,2,57,1,1,0,0,0,13,1,1,1,1,0,2,0,0,0,100000,0,2.0
3241,24340,3,53,0,1,0,0,0,3,2,0,2,0,2,0,0,2,0,50000,0,2.0
2118,44536,1,23,1,0,0,0,0,27,2,0,4,1,1,1,0,2,0,25000,0,0.0
288,4136,1,66,2,1,0,3,0,6,1,1,3,0,1,0,0,3,0,25000,0,3.0
1025,26562,3,59,1,1,0,0,0,8,1,1,3,0,4,1,0,2,0,100000,0,3.0
3357,40295,2,75,0,1,0,4,0,7,1,1,4,1,2,1,0,1,0,25000,0,2.0
2345,12754,2,31,2,1,0,0,0,6,2,0,4,1,0,2,0,0,0,100000,0,1.0
3638,17176,0,60,1,0,0,4,0,5,1,1,3,1,4,2,0,0,0,50000,0,3.0
3561,8403,2,63,0,1,0,3,0,28,0,0,1,1,0,1,0,0,0,25000,0,2.0
177,23549,0,72,2,0,0,4,0,19,0,0,4,1,3,2,0,2,0,50000,0,2.0
1114,38828,1,18,1,1,0,1,0,6,0,0,4,0,1,0,0,0,0,100000,0,1.0
1164,21538,1,57,0,1,0,3,0,27,1,1,4,1,2,1,0,1,0,100000,0,2.0
1539,9635,2,18,2,1,0,3,0,5,1,1,3,0,1,2,0,1,0,25000,0,0.0
3366,34818,3,50,0,1,0,2,0,20,0,0,4,1,3,2,0,0,0,25000,0,1.0
370,19716,3,77,0,1,0,2,0,18,1,1,3,1,4,0,0,1,0,100000,0,3.0
2592,41037,0,62,0,1,0,2,0,5,2,0,3,0,4,0,0,3,0,25000,0,3.0
729,16809,1,25,0,0,0,1,0,13,1,0,1,0,1,1,0,3,0,50000,0,2.0
598,4633,3,50,0,1,0,0,0,13,2,0,3,1,3,0,0,1,0,50000,0,2.0
2232,3621,0,79,2,0,0,3,0,26,2,0,3,0,1,0,0,2,0,100000,0,0.0
3460,15206,2,35,0,1,0,4,0,5,0,0,2,0,2,0,0,1,0,100000,0,2.0
2374,13507,2,47,0,1,0,1,0,7,2,0,1,0,4,1,0,1,0,25000,0,2.0
1173,33880,3,33,1,1,0,4,0,15,2,1,4,1,2,2,0,2,0,100000,0,3.0
1110,8396,0,30,0,0,0,4,0,15,2,0,1,1,2,0,0,2,0,25000,0,2.0
1684,19345,3,38,2,0,0,2,0,7,0,0,4,1,3,0,0,1,0,100000,0,3.0
1073,34098,0,43,0,1,0,0,0,10,2,0,1,0,3,1,0,1,0,25000,0,2.0
141,7155,0,25,2,1,0,0,0,6,1,0,4,0,2,0,0,2,0,50000,0,2.0
2383,32228,3,65,0,1,0,0,0,13,1,0,3,0,3,1,0,2,0,50000,0,2.0
665,34875,1,28,2,0,0,3,0,21,1,0,3,0,2,0,0,0,0,50000,0,1.0
1461,37761,2,51,1,0,0,2,0,17,1,1,1,0,3,2,0,2,0,100000,0,2.0
1963,47795,0,71,0,1,0,4,0,22,0,0,3,1,3,0,0,0,0,50000,0,2.0
654,17982,3,42,0,0,0,2,0,2,1,1,4,1,3,0,0,0,0,50000,0,2.0
471,3800,0,25,1,1,0,1,0,4,2,0,3,0,0,1,0,2,0,100000,0,2.0
1429,23978,1,55,2,1,0,1,0,20,2,0,4,0,4,2,0,0,0,50000,0,0.0
1064,44043,1,43,0,0,0,1,0,17,1,0,2,0,4,2,0,0,0,50000,0,2.0
759,48903,3,27,2,1,0,0,0,15,0,0,3,0,4,0,0,3,0,25000,0,0.0
2913,33922,0,52,2,0,0,1,0,9,0,0,1,0,1,0,0,1,0,100000,0,1.0
1987,2130,2,65,1,0,0,0,0,4,2,1,3,1,4,0,0,2,0,25000,0,2.0
2725,37419,3,73,1,1,0,2,0,10,0,0,4,1,4,1,0,3,0,50000,0,0.0
1499,16741,3,32,1,1,0,3,0,29,0,0,3,1,4,1,0,0,0,50000,0,2.0
1211,24452,2,49,2,0,0,4,0,21,2,0,1,1,4,1,0,2,0,50000,0,3.0
1236,5874,3,68,0,1,0,4,0,4,2,1,2,1,2,2,0,1,0,50000,0,1.0
195,3873,2,24,2,0,0,3,0,25,0,0,1,0,1,0,0,3,0,50000,0,2.0
532,25564,3,45,0,0,0,0,0,21,1,0,3,1,4,1,0,0,0,50000,0,0.0
1414,8427,1,55,2,0,0,4,0,8,2,0,3,0,4,0,0,0,0,25000,0,1.0
2249,24276,1,70,2,0,0,4,0,15,1,0,2,1,1,1,0,1,0,100000,0,3.0
1612,7763,0,38,0,0,0,2,0,18,1,0,3,1,1,0,0,3,0,25000,0,2.0
3142,15673,3,71,0,1,0,1,0,4,0,0,3,0,1,1,0,1,0,50000,0,3.0
1047,24786,2,75,2,1,0,4,0,8,2,1,2,0,1,1,0,1,0,50000,0,2.0
227,48636,3,21,1,1,0,0,0,7,0,1,1,1,0,1,0,3,0,50000,0,1.0
921,39756,1,21,2,0,0,3,0,11,1,0,3,1,3,2,0,1,0,100000,0,1.0
555,9823,0,25,2,1,0,1,0,29,1,0,3,0,3,1,0,3,0,100000,0,1.0
2461,41782,3,35,1,0,0,4,0,7,1,1,2,1,0,0,0,0,0,50000,0,3.0
2778,11181,2,71,2,0,0,1,0,3,0,1,4,0,0,1,0,3,0,25000,0,3.0
2155,18937,2,65,0,1,0,3,0,2,0,0,4,1,1,2,0,0,0,25000,0,0.0
3090,33907,2,58,2,1,0,1,0,12,2,0,3,1,1,2,0,2,0,50000,0,1.0
3505,44898,1,44,1,1,0,1,0,22,1,0,4,1,4,2,0,2,0,25000,0,3.0
2359,23386,3,77,0,1,0,3,0,9,0,1,4,0,4,1,0,0,0,50000,0,1.0
631,27160,2,47,0,1,0,4,0,28,0,0,2,1,2,0,0,2,0,100000,0,0.0
1703,28086,3,64,0,1,0,3,0,15,0,0,2,0,2,2,0,1,0,100000,0,0.0
2008,11438,3,65,1,1,0,3,0,23,0,1,3,1,1,1,0,2,0,50000,0,3.0
162,17396,3,61,1,1,0,3,0,10,1,0,1,0,2,0,0,1,0,50000,0,2.0
219,27692,3,34,0,1,0,4,0,22,1,1,4,0,0,0,0,2,0,100000,0,2.0
2347,11405,3,58,1,0,0,2,0,26,2,1,2,1,2,2,0,1,0,25000,0,2.0
2952,25663,3,44,2,0,0,3,0,13,2,0,3,0,1,0,0,1,0,100000,0,1.0
1352,1640,2,45,2,1,0,3,0,19,1,0,1,1,1,2,0,0,0,100000,0,2.0
1134,47260,3,30,0,0,0,4,0,22,1,1,4,0,4,0,0,1,0,25000,0,2.0
1565,27036,2,52,0,1,0,4,0,5,1,0,1,1,2,2,0,3,0,100000,0,2.0
547,18350,0,28,0,1,0,0,0,8,2,0,2,1,1,1,0,2,0,50000,0,3.0
949,48096,3,29,1,0,0,0,0,23,2,1,3,1,0,2,0,0,0,50000,0,0.0
3032,35118,1,20,1,1,0,2,0,29,1,1,1,1,2,2,0,0,0,50000,0,2.0
2991,41615,2,44,2,0,0,4,0,24,0,0,3,1,0,0,0,1,0,25000,0,1.0
568,13176,0,33,2,1,0,2,0,8,1,0,4,1,3,1,0,0,0,25000,0,0.0
2210,29247,0,53,0,1,0,0,0,23,2,1,1,1,0,0,0,0,0,50000,0,3.0
2715,35728,2,50,2,0,0,3,0,1,0,0,3,1,0,0,0,1,0,25000,0,2.0
1862,49408,1,52,0,1,0,0,0,17,1,0,4,1,1,0,0,0,0,50000,0,2.0
1080,19009,2,77,1,0,0,0,0,8,1,0,4,0,2,2,0,0,0,25000,0,2.0
2387,9421,2,70,0,1,0,0,0,10,2,1,4,0,1,1,0,3,0,25000,0,1.0
3131,37429,2,68,0,1,0,2,0,11,2,0,1,0,2,0,0,1,0,25000,0,1.0
3487,43225,2,69,2,1,0,0,0,1,1,0,1,0,0,2,0,3,0,50000,0,2.0
611,7814,2,21,0,0,0,0,0,27,2,0,1,0,1,2,0,1,0,100000,0,2.0
2543,43992,1,44,1,0,0,2,0,10,1,0,1,0,2,0,0,1,0,100000,0,2.0
3204,31576,0,67,1,1,0,4,0,4,2,0,1,0,4,1,0,1,0,25000,0,2.0
3372,29687,2,40,0,0,0,2,0,5,1,0,4,1,4,2,0,3,0,100000,0,0.0
3595,23442,2,28,1,1,0,1,0,25,0,0,1,1,3,2,0,3,0,50000,0,3.0
742,33797,0,60,0,1,0,2,0,12,0,1,1,1,4,0,0,2,0,25000,0,0.0
637,21453,0,76,0,1,0,4,0,26,2,1,1,0,4,2,0,0,0,25000,0,2.0
2958,43658,2,65,0,1,0,2,0,18,0,0,2,0,1,0,0,1,0,50000,0,2.0
997,22491,0,20,0,1,0,2,0,29,0,0,4,1,2,2,0,2,0,100000,0,3.0
581,38073,1,29,2,1,0,4,0,9,2,1,1,0,1,2,0,2,0,50000,0,0.0
3341,5368,3,73,2,1,0,3,0,15,2,1,4,0,3,0,0,1,0,100000,0,3.0
2727,21477,2,79,0,0,0,0,0,21,2,1,1,0,4,0,0,0,0,50000,0,2.0
985,11259,3,66,1,1,0,2,0,2,2,1,4,0,0,2,0,1,0,50000,0,2.0
73,2827,2,31,0,1,0,1,0,22,0,1,4,1,3,1,0,3,0,25000,0,3.0
48,16698,0,73,1,1,0,2,0,19,2,0,1,1,1,2,0,0,0,100000,0,0.0
831,35405,1,21,0,0,0,4,0,29,1,0,3,1,3,0,0,2,0,100000,0,3.0
1961,45566,0,79,1,1,0,0,0,18,0,0,4,1,2,1,0,1,0,50000,0,2.0
3037,2002,1,23,1,1,0,4,0,15,1,1,2,1,1,2,0,1,0,50000,0,0.0
1032,36995,1,59,1,0,0,2,0,18,1,1,4,0,1,2,0,3,0,100000,0,1.0
3279,9219,1,44,1,1,0,2,0,19,2,0,2,0,4,2,0,0,0,25000,0,1.0
2519,41081,0,71,2,0,0,3,0,13,0,0,1,0,3,2,0,0,0,50000,0,3.0
756,17153,0,49,0,1,0,1,0,28,0,0,4,0,1,1,0,1,0,50000,0,1.0
1123,32203,2,32,0,1,0,1,0,16,0,0,3,1,1,1,0,0,0,50000,0,1.0
2672,13776,2,24,1,0,0,0,0,29,0,0,3,0,1,1,0,3,0,50000,0,3.0
2011,26596,1,78,2,1,0,0,0,15,2,0,3,1,4,2,0,0,0,100000,0,2.0
912,23929,3,44,0,1,0,2,0,15,1,0,3,0,3,1,0,1,0,100000,0,2.0
1842,35193,1,59,1,0,0,3,0,1,2,0,1,0,0,2,0,0,0,100000,0,2.0
2073,24429,0,55,0,1,0,3,0,12,1,0,3,0,0,1,0,3,0,25000,0,2.0
2121,42169,1,38,2,0,0,3,0,27,1,0,4,0,4,0,0,1,0,25000,0,2.0
1600,20695,0,48,2,1,0,3,0,7,1,1,3,0,4,0,0,1,0,50000,0,3.0
3657,16912,3,28,2,1,0,0,0,20,1,1,1,0,4,0,0,1,0,25000,0,0.0
2819,26038,1,66,0,0,0,1,0,28,0,0,1,0,3,0,0,3,0,25000,0,2.0
1491,12204,2,41,2,1,0,2,0,12,1,0,3,0,3,0,0,0,0,25000,0,2.0
2594,5422,3,71,0,1,0,1,0,23,0,0,2,0,3,2,0,1,0,25000,0,1.0
572,41100,3,66,1,1,0,3,0,25,0,1,2,1,1,0,0,3,0,25000,0,0.0
2086,49742,3,79,0,1,0,1,0,25,2,0,1,0,0,0,0,2,0,100000,0,3.0
2940,42386,0,23,1,1,0,4,0,10,0,1,4,0,4,2,0,1,0,25000,0,1.0
1660,15666,3,67,0,1,0,4,0,20,2,0,1,0,0,2,0,1,0,100000,0,2.0
2889,39648,1,70,2,1,0,4,0,26,1,0,4,0,1,0,0,3,0,25000,0,0.0
1023,13557,0,69,1,1,0,4,0,28,1,1,1,0,0,0,0,0,0,25000,0,2.0
2245,3678,0,63,0,1,0,3,0,20,2,1,2,0,4,2,0,3,0,25000,0,2.0
2240,26706,3,51,0,1,0,3,0,12,2,1,4,0,0,1,0,3,0,100000,0,2.0
2340,23654,1,67,0,1,0,3,0,6,2,0,3,0,4,2,0,3,0,25000,0,1.0
1084,35365,2,59,2,1,0,0,0,29,0,0,1,0,1,0,0,3,0,50000,0,1.0
2573,18051,2,53,1,0,0,0,0,12,2,0,3,1,4,0,0,1,0,25000,0,1.0
2639,28312,0,60,1,1,0,1,0,10,1,0,2,1,1,2,0,2,0,25000,0,1.0
2788,44117,2,70,0,1,0,3,0,29,0,0,4,1,4,1,0,2,0,100000,0,2.0
1880,10367,3,61,1,1,0,2,0,27,2,0,3,1,2,1,0,0,0,50000,0,3.0
3345,42774,0,19,0,1,0,4,0,1,2,0,3,1,1,2,0,1,0,50000,0,3.0
1744,35936,3,26,2,1,0,4,0,27,0,0,1,1,4,1,0,0,0,25000,0,2.0
3392,37585,3,43,2,1,0,3,0,11,1,0,2,0,3,1,0,0,0,25000,0,2.0
259,22232,0,30,2,0,0,3,0,22,1,0,2,0,1,1,0,3,0,100000,0,3.0
3376,32001,3,40,2,0,0,3,0,14,1,0,3,0,2,2,0,1,0,100000,0,2.0
1904,36095,0,21,2,1,0,1,0,28,0,0,1,1,1,0,0,2,0,50000,0,2.0
3316,2406,2,19,2,1,0,0,0,27,0,1,1,0,0,0,0,1,0,25000,0,0.0
812,43961,0,65,0,1,0,4,0,3,0,1,3,1,1,2,0,1,0,25000,0,1.0
2645,36193,0,41,1,0,0,4,0,9,0,0,1,0,2,0,0,1,0,50000,0,3.0
2166,18100,1,46,1,0,0,0,0,19,0,0,2,1,0,1,0,1,0,100000,0,2.0
1608,13922,1,24,2,1,0,4,0,14,1,0,4,0,2,2,0,0,0,100000,0,0.0
927,23791,2,41,1,1,0,3,0,7,1,1,3,0,3,2,0,2,0,25000,0,2.0
3106,25124,1,26,0,1,0,1,0,28,2,0,2,1,4,1,0,0,0,25000,0,0.0
2574,21993,1,49,1,1,0,3,0,17,1,1,4,0,2,2,0,0,0,25000,0,1.0
3340,22326,3,43,1,0,0,0,0,15,0,0,2,1,0,0,0,1,0,100000,0,2.0
3338,953,3,57,2,1,0,3,0,28,1,1,1,0,1,0,0,2,0,100000,0,0.0
2413,26623,1,53,1,1,0,2,0,29,0,0,2,0,0,1,0,3,0,25000,0,1.0
1436,6342,2,68,2,1,0,1,0,15,1,0,4,1,3,2,0,3,0,100000,0,3.0
1320,49015,1,63,1,0,0,2,0,9,0,1,3,0,0,2,0,1,0,50000,0,0.0
1564,35181,3,49,0,0,0,3,0,1,0,0,1,1,1,1,0,1,0,50000,0,2.0
1235,24673,2,32,1,0,0,0,0,8,1,0,4,0,0,1,0,0,0,50000,0,3.0
1929,45851,2,34,2,0,0,3,0,19,0,0,2,0,1,2,0,2,0,100000,0,0.0
1159,3051,3,30,1,0,0,0,0,12,0,0,1,1,2,0,0,0,0,50000,0,2.0
2892,35950,3,30,1,1,0,1,0,20,0,0,4,0,0,2,0,3,0,100000,0,1.0
2250,22184,3,24,2,0,0,0,0,24,2,0,1,1,1,2,0,2,0,100000,0,1.0
2189,6195,1,33,1,1,0,2,0,29,0,0,3,0,1,2,0,3,0,25000,0,2.0
1044,14444,3,37,2,1,0,1,0,5,0,1,4,0,1,0,0,3,0,100000,0,2.0
1592,27064,0,45,1,0,0,2,0,28,0,1,2,0,4,2,0,1,0,100000,0,0.0
867,11293,1,22,0,1,0,4,0,26,0,0,3,1,0,1,0,1,0,100000,0,3.0
926,9574,2,26,2,0,0,0,0,9,2,1,4,0,1,2,0,3,0,100000,0,1.0
2478,33394,2,38,1,1,0,1,0,26,2,1,1,0,0,2,0,2,0,100000,0,2.0
1022,20421,0,50,0,0,0,3,0,17,0,0,2,1,3,2,0,3,0,100000,0,2.0
2791,48394,2,51,2,1,0,3,0,27,2,1,1,1,3,0,0,2,0,25000,0,1.0
3022,28862,2,24,1,1,0,0,0,18,0,1,2,0,0,1,0,1,0,50000,0,2.0
108,7393,2,78,0,1,0,4,0,15,0,1,3,1,3,1,0,1,0,100000,0,2.0
3123,26063,1,54,1,0,0,1,0,5,0,1,1,1,3,1,0,3,0,25000,0,2.0
3592,21161,2,76,1,1,0,2,0,23,1,0,4,0,4,0,0,2,0,25000,0,2.0
3422,45027,0,54,1,1,0,1,0,18,0,0,2,0,4,1,0,1,0,25000,0,1.0
3322,35530,1,68,0,1,0,2,0,19,1,1,2,0,2,1,0,3,0,25000,0,1.0
318,17407,2,23,0,1,0,4,0,2,1,0,2,1,2,0,0,1,0,25000,0,1.0
816,27466,0,41,2,1,0,3,0,12,0,0,1,0,2,1,0,0,0,100000,0,2.0
1960,24426,0,47,2,1,0,0,0,19,0,0,1,1,1,2,0,3,0,50000,0,0.0
59,14045,3,62,1,1,0,4,0,29,0,0,1,0,0,2,0,2,0,100000,0,3.0
2541,15603,1,34,1,1,0,3,0,16,0,0,3,1,2,2,0,0,0,50000,0,3.0
1905,30757,1,75,1,1,0,4,0,23,2,0,4,0,4,0,0,0,0,25000,0,2.0
2071,21066,0,42,2,1,0,2,0,19,2,1,1,0,2,2,0,1,0,50000,0,3.0
2042,5417,0,60,2,0,0,0,0,21,2,0,3,0,4,2,0,2,0,100000,0,3.0
1350,15352,3,56,2,1,0,0,0,24,1,0,3,0,1,1,0,3,0,50000,0,1.0
3584,23106,3,73,2,0,0,2,0,19,0,0,2,1,3,0,0,3,0,25000,0,2.0
3132,4542,2,65,1,1,0,3,0,8,0,1,1,0,2,2,0,3,0,100000,0,1.0
765,26392,1,72,2,1,0,1,0,14,1,0,1,1,4,2,0,2,0,50000,0,3.0
1078,30947,2,74,2,0,0,0,0,12,0,0,2,1,0,2,0,3,0,25000,0,2.0
1844,11466,1,38,2,1,0,1,0,10,1,0,1,1,1,0,0,2,0,50000,0,3.0
1027,4254,0,26,2,1,0,4,0,22,1,0,4,0,1,2,0,0,0,50000,0,3.0
3100,47998,2,31,1,1,0,1,0,18,0,0,2,0,3,2,0,3,0,50000,0,1.0
1003,49645,2,71,0,1,0,0,0,28,2,0,1,1,3,1,0,0,0,50000,0,1.0
1770,2200,2,67,1,1,0,0,0,25,2,0,3,0,4,2,0,2,0,100000,0,3.0
3158,41945,3,39,1,1,0,2,0,24,1,0,2,0,3,0,0,0,0,100000,0,2.0
727,49270,0,73,2,1,0,1,0,14,1,1,4,1,1,0,0,2,0,50000,0,3.0
1037,37235,1,58,1,1,0,4,0,9,1,1,3,0,3,1,0,1,0,100000,0,1.0
1739,32281,1,22,1,0,0,1,0,22,0,1,1,0,3,1,0,3,0,25000,0,1.0
220,24744,2,69,2,1,0,0,0,12,0,0,4,1,4,1,0,0,0,100000,0,3.0
1783,8828,1,43,0,1,0,0,0,24,2,1,1,0,2,0,0,3,0,50000,0,3.0
582,1306,1,58,2,1,0,3,0,28,0,0,2,0,2,2,0,0,0,100000,0,3.0
1104,35242,0,78,2,1,0,2,0,21,1,0,4,1,1,0,0,3,0,25000,0,2.0
1089,16870,0,78,1,0,0,1,0,8,2,1,1,1,0,0,0,2,0,25000,0,2.0
1465,36521,2,36,0,1,0,4,0,24,2,1,4,0,3,0,0,1,0,50000,0,0.0
940,28105,0,54,0,0,0,0,0,5,1,0,2,1,3,2,0,2,0,100000,0,0.0
56,1806,0,56,1,1,0,0,0,1,1,0,4,0,3,2,0,0,0,25000,0,1.0
187,26644,1,63,1,1,0,0,0,4,0,1,3,0,4,1,0,1,0,100000,0,2.0
3611,1389,0,34,1,1,0,1,0,28,2,0,3,1,3,1,0,3,0,25000,0,2.0
3455,18306,0,54,0,1,0,3,0,25,1,1,3,1,3,2,0,2,0,100000,0,3.0
2789,7567,1,75,1,1,0,1,0,2,0,0,1,1,0,0,0,1,0,50000,0,0.0
2476,46247,2,23,0,1,0,4,0,21,1,0,1,1,0,0,0,1,0,50000,0,1.0
2318,32967,1,29,2,1,0,3,0,27,0,0,3,1,3,2,0,0,0,25000,0,2.0
1877,29401,3,78,0,1,0,4,0,29,2,0,1,0,1,2,0,3,0,100000,0,3.0
1272,34255,0,73,2,1,0,1,0,13,2,0,3,0,3,1,0,3,0,25000,0,1.0
468,47563,2,21,2,0,0,2,0,6,2,0,3,0,2,2,0,1,0,50000,0,2.0
2282,5697,1,31,0,1,0,2,0,21,1,0,4,0,3,1,0,2,0,100000,0,0.0
1423,43648,0,23,1,1,0,4,0,3,2,0,2,0,1,1,0,3,0,100000,0,2.0
2290,44146,3,29,1,0,0,3,0,26,2,1,4,0,2,2,0,3,0,25000,0,2.0
226,38114,2,50,2,1,0,4,0,21,1,0,3,0,1,0,0,0,0,50000,0,1.0
535,30211,2,51,0,1,0,0,0,20,2,0,2,1,2,0,0,0,0,100000,0,1.0
905,24726,3,66,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,25000,0,2.0
2177,35285,0,38,2,1,0,4,0,6,1,0,1,0,2,2,0,0,0,25000,0,1.0
2447,26527,1,53,0,1,0,1,0,3,0,0,4,1,0,1,0,1,0,100000,0,1.0
1270,44863,1,48,1,1,0,1,0,21,2,0,2,0,2,0,0,3,0,25000,0,3.0
2759,37894,1,55,0,1,0,1,0,8,0,0,4,1,2,0,0,3,0,25000,0,0.0
3489,22919,3,77,0,1,0,4,0,20,2,0,3,1,0,1,0,0,0,50000,0,2.0
697,49653,0,42,2,1,0,1,0,12,0,1,3,1,0,0,0,3,0,50000,0,1.0
3258,44223,0,20,0,1,0,0,0,20,2,0,2,1,3,0,0,2,0,25000,0,0.0
210,47820,1,79,2,1,0,2,0,14,2,0,2,0,2,1,0,0,0,50000,0,2.0
2937,41370,3,41,1,1,0,0,0,7,0,0,2,1,0,1,0,3,0,50000,0,2.0
69,22056,2,77,1,1,0,0,0,14,1,0,3,0,1,1,0,0,0,25000,0,2.0
734,36721,0,65,0,1,0,4,0,15,1,1,1,0,2,0,0,3,0,50000,0,2.0
1760,1700,1,40,1,1,0,0,0,2,0,0,1,1,0,1,0,0,0,50000,0,0.0
1953,15908,0,37,0,0,0,0,0,19,1,1,1,0,1,2,0,3,0,100000,0,2.0
3337,9741,0,68,2,1,0,2,0,19,1,0,4,1,1,2,0,3,0,100000,0,2.0
3217,17638,1,60,2,1,0,3,0,12,0,0,2,0,4,1,0,2,0,50000,0,1.0
